Gene,LA3475,LA1316,LA1589,LA1777,LA2172,LA3778,LA4117,LA0716
Solyc00g005050.3.1,8.783872473,6.25434692,6.381213664,7.417039492,9.74355267,9.73461761,7.791526678,9.399406355
Solyc00g005840.3.1,5.418607907,4.972531591,2.997916945,1.885688006,8.04976112,6.206558895,2.342352973,4.181933081
Solyc00g006490.3.1,8.36689021,14.35622661,8.06578746,10.68556537,14.83845306,9.300914882,14.36930251,12.8631013
Solyc00g006800.3.1,23.32124465,45.59787874,28.64546151,35.3042699,15.93738604,36.03108802,42.55201789,33.41918108
Solyc00g006805.1.1,4.601216108,7.94243848,5.317678054,6.914189357,3.342920622,4.600927623,3.819959286,5.298564515
Solyc00g006810.3.1,5.456126758,11.89538,7.321486115,5.028501351,8.205674954,6.211225526,10.57628872,3.87369267
Solyc00g006820.3.1,15.607587,40.88111085,22.73961558,13.19981605,29.01511777,23.06145389,32.25505276,40.717127
Solyc00g006830.3.1,19.87840446,14.55365956,18.51560642,21.05684941,13.68674996,15.9853566,17.68823562,17.08813564
Solyc00g007010.3.1,3.453434906,3.341806767,4.002593072,3.980896903,4.928492929,3.417283325,2.306123569,3.645431961
Solyc00g007060.3.1,11.35651337,7.536240841,4.593793616,5.028501351,6.702795127,4.762309332,9.448944696,9.951630122
Solyc00g007070.3.1,82.32524312,84.42185795,72.74482915,69.4561749,72.41372039,55.03636202,68.04465911,72.75033351
Solyc00g007080.3.1,1.486601825,2.718186049,0.878745099,0,2.975153893,0.519450937,2.902058278,2.254799552
Solyc00g007090.3.1,11.36459188,10.13514742,10.96412735,10.47604448,13.98814201,6.657718719,5.982751583,7.8931054
Solyc00g007100.3.1,8.114442877,9.956607306,15.75893719,12.88553471,7.850956527,7.790004455,13.87898669,9.961682245
Solyc00g007110.3.1,3.541553498,8.909549054,3.915116639,10.68556537,3.727197383,11.73607198,4.812037922,8.951954051
Solyc00g007120.3.1,8.895263088,11.97214878,12.39985974,11.62840937,12.6864071,19.22549873,7.918382751,16.53408513
Solyc00g007200.3.1,9.339353231,22.92230749,21.24689249,13.61885782,12.85290451,29.41557303,14.27863449,37.71503294
Solyc00g007220.3.1,6.631729191,4.554807647,21.67189074,16.34262939,7.129802923,9.420728477,16.56346983,6.080139074
Solyc00g007260.3.1,6.605924845,6.432663544,5.348684929,4.923740906,5.530294613,6.637292601,5.799687028,5.614138194
Solyc00g007270.3.1,47.28588655,10.07607756,19.65872725,17.33037073,15.93827879,11.39096991,10.6752587,13.16491216
Solyc00g007300.3.1,4.945100181,8.787527498,6.962229136,27.02819476,11.75112529,4.671360811,9.130614756,8.456940862
Solyc00g008570.2.1,132.2155379,56.14265973,131.3054916,20.42828674,62.82418067,54.96100691,73.74564135,101.3840881
Solyc00g008580.1.1,614.3568619,258.9796063,744.1966004,128.8553471,355.2342441,194.0822451,412.2537258,554.6393157
Solyc00g008680.3.1,16.0675919,15.1834832,14.18478028,20.83236274,15.84666424,12.27612393,10.44785178,15.80278995
Solyc00g009020.3.1,19.13338602,17.72448663,17.94592964,13.19981605,17.76590273,14.57496482,13.92519903,17.10518953
Solyc00g009040.3.1,3.608639171,6.584057053,2.800447206,5.028501351,5.401450833,3.119230175,4.115215932,2.644974134
Solyc00g009060.3.1,12.18556618,23.54356923,8.061134561,5.866584909,18.53138754,6.761608906,1.273319762,2.725037313
Solyc00g009080.3.1,12.32481115,15.90631275,16.90816731,7.542752026,17.40213307,13.63937392,5.618473771,19.3212631
Solyc00g009100.3.1,5.667904434,8.949638904,3.183176484,3.771376013,7.586972628,5.717747136,5.740450569,5.886434592
Solyc00g009110.3.1,13.02887086,10.14391264,4.135063484,3.614235346,9.290405579,2.165934446,2.488229356,4.827572588
Solyc00g009140.3.1,4.301097771,8.069447767,4.470113543,1.257125338,6.096093675,2.441419402,1.612871699,3.645107216
Solyc00g009141.1.1,21.93839633,16.79861259,21.97147178,19.79972407,22.57268509,18.90273531,16.01705311,19.25147716
Solyc00g009760.2.1,294.047183,118.6609733,329.0983089,58.4563282,146.8451879,102.4419203,154.568719,245.3676592
Solyc00g010525.1.1,13.40122339,5.751364558,11.7281962,0.628562669,8.758656598,5.328158934,10.53126649,13.53788687
Solyc00g011150.1.1,197.6784752,69.85370106,222.7110054,29.54244543,108.0808791,72.8729986,111.4777541,168.733083
Solyc00g011160.2.1,452.3216779,190.2686892,522.0759416,98.05577634,261.981948,130.2774521,291.5394456,411.5240143
Solyc00g011880.3.1,2.639721065,3.390958849,2.335090832,2.199969341,4.819100271,1.636270451,3.673983544,4.273478047
Solyc00g011890.3.1,7.709149037,5.06630642,6.159526911,3.868077962,9.921851758,5.46684593,7.901844528,4.036012203
Solyc00g012430.1.1,117.8688823,45.27527982,125.6489962,26.39963209,58.23201424,40.65541239,55.29341388,91.87914903
Solyc00g012440.1.1,48.59780459,18.78716107,56.7920336,13.82837871,29.8867799,18.51517434,29.66279656,49.27027652
Solyc00g013140.2.1,6.186749708,2.541075898,7.474262213,4.399938682,2.673676096,1.454462623,3.623606144,5.736773732
Solyc00g014830.3.1,4.088760561,2.615235693,8.283632698,1.257125338,3.283075978,2.669625895,2.108911016,4.797901422
Solyc00g019730.2.1,5.923620214,2.508327334,8.584256022,1.885688006,2.699772698,5.472901358,4.769593929,5.456288943
Solyc00g019740.1.1,6.04404592,2.70440727,4.26900314,3.771376013,3.162339264,1.402517529,8.382489716,4.736248766
Solyc00g019950.1.1,3.985670081,1.31027843,1.541310641,0.628562669,2.807461111,4.237311967,2.774726302,3.554230066
Solyc00g021630.1.1,2.965474842,2.310138904,6.750377775,1.257125338,2.69107383,5.847609871,4.700572763,3.938374416
Solyc00g021640.3.1,1.828865934,1.150083502,4.26900314,3.142813344,2.384199172,0.831121499,2.902058278,3.441071414
Solyc00g022100.1.1,5.784021023,1.919006981,6.134061975,4.399938682,4.006768287,0.935011686,4.430041993,2.923753095
Solyc00g024150.3.1,7.498530165,4.726073444,4.82971795,2.723771565,7.083917832,3.36903585,2.882621342,1.962151862
Solyc00g027770.3.1,19.07849479,10.08989786,17.89812025,19.86258033,7.868411086,8.781750296,7.037134398,15.23113035
Solyc00g030520.3.1,3.337945547,6.931548522,2.944219483,4.818980461,5.303266055,3.313393138,5.30364771,4.634748468
Solyc00g047700.3.1,39.29376993,32.75321261,38.31544874,15.46264165,43.35791329,28.2287998,34.58487091,46.86842203
Solyc00g050130.1.1,5.562942957,9.753790439,12.37673487,6.285626688,8.367207574,17.78036937,5.379676636,14.70215049
Solyc00g050430.3.1,4.703100283,3.651116742,17.74897895,6.128486021,6.006468772,2.456299092,3.444508292,5.101033346
Solyc00g053440.3.1,5.228965881,4.653580128,4.054387006,3.771376013,5.465550201,6.222318383,3.297342794,4.556334555
Solyc00g059100.3.1,2.164100488,3.208644209,3.113801871,2.82853201,4.148204742,3.873696311,6.278933878,2.27700036
Solyc00g068970.2.1,296.3486647,127.9902734,390.4633344,68.82761224,176.1964729,93.09505501,201.2458038,280.6777078
Solyc00g068980.2.1,328.6450775,109.3355933,390.062677,49.65645084,175.8829589,134.936828,216.9713029,231.7577444
Solyc00g082150.3.1,33.41546353,29.4385577,22.0343541,28.2853201,38.44962291,30.55155638,36.28901707,33.57349961
Solyc00g090870.3.1,34.73088307,39.50644414,42.27899513,28.2853201,58.34275587,17.17164029,34.27292744,32.31288558
Solyc00g091170.3.1,7.081182034,8.79053467,6.158229128,4.714220016,9.585847612,6.211225526,2.745570897,4.258698841
Solyc00g096460.2.1,3.807593031,5.715711573,3.900047486,3.771376013,3.306030299,4.341202154,1.952423635,5.466262877
Solyc00g097960.2.1,2.471546147,8.07736377,4.531432439,0.628562669,9.30941899,2.741997107,0.891323833,2.310559735
Solyc00g098560.3.1,15.64208346,4.854994714,7.999120811,1.885688006,3.048046838,0.831121499,0.721547865,1.16331503
Solyc00g110870.3.1,2.573030911,4.37394455,3.113801871,1.885688006,2.075229661,3.012815433,5.183323493,2.055473014
Solyc00g125990.2.1,4.888350235,2.302633012,7.366693575,1.885688006,3.041442824,5.21317589,2.350286381,3.893894269
Solyc00g127670.2.1,23.47060233,11.32898743,27.82206415,12.57125338,38.27894757,11.56157017,12.17587183,15.2950015
Solyc00g127870.3.1,5.030498998,4.485120051,3.801830096,4.609459571,5.729723516,3.732651506,4.576810906,6.407574148
Solyc00g128870.3.1,39.6441332,27.81842855,17.64920546,27.65675743,30.55787048,21.29396921,15.17352845,28.49318987
Solyc00g140060.3.1,5.365553637,4.916148025,12.91666262,4.399938682,2.29181364,6.211225526,2.037311619,8.312807595
Solyc00g164680.2.1,14.464343,8.460684884,22.81202286,11.31412804,11.61113865,15.06055797,16.52102584,9.779764396
Solyc00g170210.3.1,15.11252657,6.87610286,17.81055842,1.885688006,7.15605925,4.658419145,3.793382112,8.18243652
Solyc00g171810.3.1,5.366789961,2.838845552,7.999120811,1.257125338,4.387583316,4.046170878,2.058533615,12.59534965
Solyc00g188857.1.1,3.999513055,6.991993856,2.47555543,3.897088547,4.435682647,3.006159719,5.339374715,4.318556887
Solyc00g217960.1.1,13.00634691,1.582113349,5.008999013,11.31412804,4.049374922,10.73044868,14.29291497,8.739469531
Solyc00g244290.1.1,12.08686106,1.314031376,4.901430375,1.885688006,2.699772698,2.482271639,2.817170294,1.481609465
Solyc00g256710.2.1,2.773959213,3.96504888,0.878745099,4.399938682,2.765173927,0.57139603,1.697759683,3.912210496
Solyc01g005020.3.1,7.368359241,9.082421507,7.90396748,8.171314695,7.167718832,14.44253803,14.32755747,15.68521284
Solyc01g005030.3.1,15.37734329,16.71758343,13.57022434,13.61885782,14.29343068,16.30724022,16.38311598,11.8912922
Solyc01g005080.3.1,10.80824445,4.971388633,5.055248755,9.428440032,6.911443541,9.743491896,0.254663952,5.751725374
Solyc01g005100.3.1,4.856767855,4.967480893,5.278962888,10.9998467,7.439393674,8.455077613,4.132934048,7.329856935
Solyc01g005110.3.1,5.950904429,3.340898435,4.24639941,6.285626688,4.509083332,5.957046486,4.798749334,4.368168099
Solyc01g005120.3.1,72.33751228,60.48744092,71.35681575,131.6838791,117.921869,107.8129787,31.99295134,78.43646564
Solyc01g005210.3.1,40.57037833,38.17736794,36.70395792,52.64212351,53.56224991,104.0892267,97.24830645,69.07823008
Solyc01g005220.3.1,11.72064971,1.520985669,1.402561415,0,3.26132881,2.430326545,4.260266025,11.53966378
Solyc01g005240.3.1,5.009547737,4.659858644,5.090370345,6.233246466,6.902007993,3.9961192,3.337109197,4.740069747
Solyc01g005250.3.1,9.471923234,4.66906717,5.321108797,4.148513614,5.715424241,3.994631231,3.615117345,5.51254168
Solyc01g005300.3.1,66.33990019,24.72699915,44.32256064,81.71314695,46.83680225,44.23178254,32.19594878,42.78939784
Solyc01g005330.3.1,12.84653323,12.08950237,11.51238583,11.81697817,16.81004553,12.83392658,12.7128082,12.85296078
Solyc01g005340.3.1,8.979779792,9.374492025,6.345565908,11.31412804,8.521502913,10.72557799,14.3652413,8.090431394
Solyc01g005370.3.1,9.018994308,10.02629579,1.957558319,1.885688006,7.507475671,2.285584121,4.514929977,3.828274573
Solyc01g005430.3.1,9.510656812,8.387072574,6.838549063,8.799877363,12.048011,15.11872524,9.829155565,8.549746373
Solyc01g005440.3.1,123.8357358,53.55161447,87.72256442,36.99540279,64.51900559,88.11861595,58.64830172,64.17416978
Solyc01g005450.3.1,4.716335529,5.21024163,6.010381902,1.257125338,4.847007602,9.773251275,1.570427707,3.192737427
Solyc01g005460.3.1,8.787513298,8.459359501,11.40549029,7.85703336,13.39463681,7.073866,6.496509017,8.002787193
Solyc01g005480.3.1,22.00145201,16.31004305,21.33098883,20.1140054,24.35408839,21.23093126,28.79249601,25.61437411
Solyc01g005490.3.1,6.158018375,8.591204576,8.989073747,6.285626688,6.744397029,8.386263746,7.00738386,6.691834227
Solyc01g005520.3.1,5.611647944,6.047092466,3.992025829,3.142813344,5.763725992,5.157443963,5.761672565,5.117460262
Solyc01g005530.3.1,7.524450379,28.4925477,4.153899926,17.91403606,11.32045457,13.81008889,11.54456713,10.65588614
