"","gene_name","cont_topology","intro_topology","control_trio_min","intro_trio_min"
"1","Solyc00g005050"," P1P2"," P1P2","P2P3","P2P3"
"4","Solyc00g006800"," P1P2"," P1P2","P1P3","P1P2"
"6","Solyc00g006810"," P1P2"," P1P2","P2P3","P1P2"
"7","Solyc00g006820"," P1P2"," P1P2","P1P2","P1P2"
"8","Solyc00g006830"," P1P2"," P1P2","P1P2","P1P3"
"9","Solyc00g007010"," P1P3"," P2P3","P2P3","P1P3"
"10","Solyc00g007060"," P1P2"," P1P2","P2P3","P1P2"
"12","Solyc00g007080"," P1P2"," P2P3","P1P2","P1P2"
"13","Solyc00g007090"," P1P2"," P2P3","P1P2","P2P3"
"15","Solyc00g007110"," P1P2"," P1P2","P1P2","P1P2"
"16","Solyc00g007120"," P1P2"," P1P2","P1P2","P2P3"
"17","Solyc00g007200"," P1P2"," P1P2","P1P2","P1P3"
"19","Solyc00g007260"," P1P2"," P1P2","P1P3","P1P3"
"20","Solyc00g007270"," P1P2"," P2P3","P1P3","P1P3"
"21","Solyc00g007300"," P1P2"," P1P2","P1P3","P1P3"
"22","Solyc00g008570"," P1P2"," P1P2","P1P2","P1P3"
"23","Solyc00g008580"," P1P2"," P1P2","P2P3","P1P3"
"24","Solyc00g008680"," P1P2"," P1P2","P2P3","P1P3"
"25","Solyc00g009020"," P1P2"," P1P2","P1P3","P1P2"
"26","Solyc00g009040"," P1P2"," P1P2","P1P3","P2P3"
"27","Solyc00g009060"," P1P2"," P1P2","P1P2","P1P2"
"29","Solyc00g009100"," P1P2"," P1P2","P2P3","P1P2"
"30","Solyc00g009110"," P1P2"," P1P2","P1P3","P1P2"
"31","Solyc00g009140"," P1P2"," P2P3","P1P2","P1P2"
"37","Solyc00g011880"," P1P2"," P1P2","P1P2","P1P2"
"38","Solyc00g011890"," P1P2"," P1P2","P1P2","P1P3"
"39","Solyc00g012430"," P1P2"," P1P3","P1P2","P1P3"
"49","Solyc00g024150"," P1P2"," P1P2","P1P2","P1P2"
"52","Solyc00g047700"," P1P2"," P2P3","P1P2","P1P3"
"54","Solyc00g050430"," P1P2"," P1P2","P2P3","P1P3"
"56","Solyc00g059100"," P1P2"," P1P2","P2P3","P2P3"
"57","Solyc00g068970"," P1P3"," P1P2","P2P3","P1P2"
"58","Solyc00g068980"," P1P2"," P1P2","P1P2","P1P3"
"59","Solyc00g082150"," P1P2"," P1P2","P2P3","P1P3"
"60","Solyc00g090870"," P1P2"," P1P2","P2P3","P1P2"
"61","Solyc00g091170"," P1P2"," P1P2","P1P2","P1P2"
"63","Solyc00g097960"," P1P2"," P1P3","P2P3","P1P2"
"64","Solyc00g098560"," P1P2"," P1P2","P1P3","P1P2"
"65","Solyc00g110870"," P1P2"," P1P2","P2P3","P1P2"
"68","Solyc00g127870"," P1P3"," P1P2","P1P2","P2P3"
"71","Solyc00g164680"," P1P2"," P1P2","P2P3","P2P3"
"77","Solyc00g256710"," P1P2"," P1P2","P2P3","P2P3"
"78","Solyc01g005020"," P1P2"," P1P2","P1P2","P2P3"
"79","Solyc01g005030"," P1P2"," P1P2","P1P3","P1P3"
"80","Solyc01g005080"," P1P2"," P1P2","P1P3","P1P2"
"81","Solyc01g005100"," P1P2"," P1P2","P1P2","P1P2"
"83","Solyc01g005120"," P1P2"," P1P2","P1P2","P1P2"
"84","Solyc01g005210"," P1P2"," P1P2","P1P2","P2P3"
"87","Solyc01g005250"," P1P2"," P1P2","P1P3","P1P2"
"89","Solyc01g005330"," P1P2"," P1P2","P2P3","P2P3"
"90","Solyc01g005340"," P1P2"," P1P2","P2P3","P1P2"
"91","Solyc01g005370"," P1P2"," P1P2","P1P3","P1P2"
"92","Solyc01g005430"," P1P2"," P2P3","P2P3","P2P3"
"94","Solyc01g005450"," P1P2"," P1P2","P1P2","P2P3"
"96","Solyc01g005480"," P1P2"," P1P2","P1P2","P1P2"
"97","Solyc01g005490"," P1P2"," P1P2","P2P3","P1P3"
"98","Solyc01g005520"," P1P2"," P1P2","P2P3","P1P3"
"99","Solyc01g005530"," P1P3"," P1P2","P2P3","P1P2"
"100","Solyc01g005540"," P1P2"," P1P2","P1P2","P1P2"
"101","Solyc01g005550"," P1P2"," P1P2","P1P3","P2P3"
"102","Solyc01g005560"," P1P2"," P1P2","P1P2","P2P3"
"105","Solyc01g005590"," P1P2"," P1P2","P1P2","P1P2"
"106","Solyc01g005600"," P1P2"," P1P2","P1P3","P1P3"
"107","Solyc01g005620"," P1P2"," P1P2","P1P3","P1P2"
"108","Solyc01g005640"," P1P2"," P1P2","P1P2","P1P2"
"111","Solyc01g005670"," P1P2"," P1P2","P1P2","P1P2"
"112","Solyc01g005690"," P1P2"," P1P2","P1P3","P2P3"
"113","Solyc01g005700"," P1P2"," P1P2","P1P3","P2P3"
"115","Solyc01g005790"," P1P3"," P1P2","P2P3","P2P3"
"116","Solyc01g005810"," P1P2"," P2P3","P1P3","P1P2"
"118","Solyc01g005830"," P1P2"," P1P2","P2P3","P1P2"
"119","Solyc01g005840"," P1P2"," P1P2","P1P3","P2P3"
"120","Solyc01g005910"," P1P2"," P1P2","P2P3","P2P3"
"121","Solyc01g005920"," P1P2"," P2P3","P1P2","P2P3"
"123","Solyc01g005950"," P1P2"," P1P2","P1P3","P1P3"
"124","Solyc01g005960"," P1P2"," P1P2","P1P3","P1P3"
"126","Solyc01g005980"," P1P2"," P2P3","P1P2","P1P3"
"127","Solyc01g005990"," P1P2"," P1P2","P1P3","P1P3"
